Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

Dimension index,Feature impact on ground truth logit

40,1.8240737915039062
41,-2.194486618041992
42,2.115306854248047
43,-0.6947736740112305
44,0.46027660369873047
45,0.3838834762573242
46,-1.0680427551269531
47,2.7324533462524414
48,-1.1150503158569336
49,-0.6679697036743164
50,-1.235661506652832
51,4.0013885498046875
52,-2.5267906188964844
53,0.9603481292724609
54,-0.17182636260986328
55,-3.9082727432250977
56,2.5885419845581055
57,0.14466190338134766
58,0.978388786315918
59,-2.49552059173584
60,1.1107139587402344
61,0.6920995712280273
62,-1.5459728240966797
63,-0.8436412811279297
64,-0.6500043869018555
65,0.38948822021484375
66,-3.114276885986328
67,-2.8558778762817383
68,1.5731840133666992
69,-0.567997932434082
70,0.46610069274902344
71,-2.8575353622436523
72,-3.0608482360839844
73,-0.8853607177734375
74,-2.2306928634643555
75,0.602935791015625
76,-1.803391456604004
77,-0.6868019104003906
78,-1.2768678665161133
79,2.7943592071533203
80,-0.24848651885986328
81,-0.7491617202758789
82,1.3158740997314453
83,-1.3971490859985352
84,-1.870112419128418
85,-1.5661516189575195
86,-3.417046546936035
87,-0.6685104370117188
88,1.3127689361572266
89,1.1635265350341797
90,2.4751720428466797
91,0.5807371139526367
92,0.5225610733032227
93,-0.3803739547729492
94,1.7191362380981445
95,-0.7987833023071289
96,-1.0133819580078125
97,-2.3933820724487305
98,2.226141929626465
99,-0.5017690658569336
100,1.1889371871948242
101,-3.24202823638916
102,-2.2842960357666016
103,-0.011676788330078125
104,0.30486392974853516
105,0.6818733215332031
106,0.3074026107788086
107,-1.680455207824707
108,-1.5405263900756836
109,-0.8520107269287109
110,-1.1884803771972656
111,0.7035074234008789
112,-1.6627178192138672
113,-0.9044666290283203
114,-5.163274765014648
115,1.0914087295532227
116,-0.8968124389648438
117,-1.0247983932495117
118,-1.2860212326049805
119,0.17656421661376953
120,1.893488883972168
121,-0.19431495666503906
122,1.0042791366577148
123,0.5279827117919922
124,0.7090902328491211
125,1.1800470352172852
126,-3.43801212310791
127,-1.5301408767700195
128,-1.8841180801391602
129,1.4255332946777344
130,2.217527389526367
131,-0.07884407043457031
132,-0.020186424255371094
133,0.3990316390991211
134,-1.0062103271484375
135,1.1855077743530273
136,-0.2385425567626953
137,-1.432999610900879
138,-1.0952157974243164
139,0.4524507522583008
140,1.5052061080932617
141,0.20750045776367188
142,1.6518230438232422
143,0.44431209564208984
144,2.7165355682373047

Dimension index,Feature impact on ground truth logit
Dimension index,Feature impact on ground truth logit
Dimension index,Feature impact on ground truth logit
51,4.0013885498046875
36,3.5841989517211914
79,2.7943592071533203
47,2.7324533462524414
144,2.7165355682373047
56,2.5885419845581055
90,2.4751720428466797
98,2.226141929626465
130,2.217527389526367
42,2.115306854248047
120,1.893488883972168
40,1.8240737915039062
94,1.7191362380981445
142,1.6518230438232422
68,1.5731840133666992
16,1.561823844909668
140,1.5052061080932617
129,1.4255332946777344
30,1.3864431381225586
82,1.3158740997314453
88,1.3127689361572266
32,1.27447509765625
23,1.1907129287719727
100,1.1889371871948242
135,1.1855077743530273
125,1.1800470352172852
89,1.1635265350341797
60,1.1107139587402344
10,1.095973014831543
115,1.0914087295532227
122,1.0042791366577148
58,0.978388786315918
53,0.9603481292724609
39,0.8430967330932617
35,0.7767925262451172
124,0.7090902328491211
111,0.7035074234008789
61,0.6920995712280273
105,0.6818733215332031
27,0.6783695220947266
75,0.602935791015625
91,0.5807371139526367
123,0.5279827117919922
92,0.5225610733032227
70,0.46610069274902344
44,0.46027660369873047
139,0.4524507522583008
143,0.44431209564208984
133,0.3990316390991211
65,0.38948822021484375
45,0.3838834762573242
106,0.3074026107788086
104,0.30486392974853516
12,0.3014640808105469
141,0.20750045776367188
26,0.20285606384277344
119,0.17656421661376953
57,0.14466190338134766
29,0.11933517456054688
103,-0.011676788330078125
14,-0.013567924499511719
132,-0.020186424255371094
2,-0.04818916320800781
131,-0.07884407043457031
3,-0.13913631439208984
54,-0.17182636260986328
121,-0.19431495666503906
1,-0.19467544555664062
136,-0.2385425567626953
80,-0.24848651885986328
20,-0.24870014190673828
8,-0.31008148193359375
93,-0.3803739547729492
11,-0.3878631591796875
5,-0.42566490173339844
99,-0.5017690658569336
69,-0.567997932434082
28,-0.6033802032470703
4,-0.6362247467041016
24,-0.6487722396850586
64,-0.6500043869018555
49,-0.6679697036743164
87,-0.6685104370117188
77,-0.6868019104003906
43,-0.6947736740112305
18,-0.7079343795776367
81,-0.7491617202758789
95,-0.7987833023071289
63,-0.8436412811279297
109,-0.8520107269287109
19,-0.880223274230957
73,-0.8853607177734375
116,-0.8968124389648438
113,-0.9044666290283203
22,-0.9678268432617188
134,-1.0062103271484375
96,-1.0133819580078125
117,-1.0247983932495117
34,-1.0586061477661133
46,-1.0680427551269531
138,-1.0952157974243164
33,-1.105118751525879
48,-1.1150503158569336
110,-1.1884803771972656
0,-1.1917390823364258
50,-1.235661506652832
78,-1.2768678665161133
118,-1.2860212326049805
38,-1.3718376159667969
83,-1.3971490859985352
137,-1.432999610900879
31,-1.4754438400268555
21,-1.4969720840454102
127,-1.5301408767700195
108,-1.5405263900756836
62,-1.5459728240966797
85,-1.5661516189575195
112,-1.6627178192138672
107,-1.680455207824707
76,-1.803391456604004
84,-1.870112419128418
128,-1.8841180801391602
41,-2.194486618041992
37,-2.2126388549804688
74,-2.2306928634643555
102,-2.2842960357666016
6,-2.3379249572753906
97,-2.3933820724487305
59,-2.49552059173584
52,-2.5267906188964844
7,-2.5424156188964844
15,-2.5518922805786133
13,-2.6042098999023438
17,-2.8490171432495117
67,-2.8558778762817383
71,-2.8575353622436523
9,-2.933016777038574
72,-3.0608482360839844
25,-3.0791568756103516
66,-3.114276885986328
101,-3.24202823638916
86,-3.417046546936035
126,-3.43801212310791
55,-3.9082727432250977
114,-5.163274765014648

Dimension index,Feature impact on ground truth logit

